评论ID,分词结果
293273986017,又 看到 这个 1 个 小时 我 看 完 了
293311306049,真的假 的
293192929889,我 想要 一个 2026 年 的 楼
293259449153,现在 居然 还有 人
293467500449,那 当然 现在 到 哪 都 是 人
295525110464,我 记得 有 首歌 是 这个 是 的 金钱 是 万恶之源 他 的 恶行 瑞典 历史 早有 证明 罗马 靠 征服 带来 了 财富 但 很快 在 放荡 之中 逐渐 凋零 圣经 里 说 有钱人 入 上帝 的 国比 让 骆驼 穿过 针眼 还要 困难 然而 金钱 的 阴影 依然 挥之不去 看 视频 的 你 也 无法 摆脱 它 的 魔力 因为 钱 美国 人 都 把 自由 给予 奴隶 因为 钱 荷兰人 强迫 他 国 签订 条约 因为 钱 我们 把 人生 看作 一场 交易 在 金钱 的 诱惑 下 迷失 了 自己 钱本应 是 促进 经济 发展 的 工具 但 在 现实 中 却 被 人们 当做 了 上帝 可当 我 真正 的 走向 社会 金钱 也 受到 了 别样 的 冲击 钱能 让 我 的 父母 不再 那么 辛苦 钱能 让 我 有 勇气 对 不 公平 说 不 钱 能够 买来 时间 累 了 停下 独处 钱 能够 买来 药物 把 病魔 给 掐住 有了钱 我能 给 另一半 幸福 有了钱 不再 受 别人 的 挖苦 有了钱 钱 我 或许 不用 这么 痛苦 不用 放弃 理想 找寻 谋生 的 门路 孟子 说 人性 之善 也 犹水 之 就 下 也 人 无 有 不善 水无有 不下 今夫 水搏 而 跃 之 可 也 激而行 之 可 也 是 岂 水之性 哉 其 势则然 也 人 之 可 使 为 不善 其性 亦 犹 是 也 钱 在 我 的 心里 砸 起 水花 我 却 对 他 的 恶 无法回答 在 金钱 魔杖 的 运转 之下 一步步 变成 追逐 它 的 傻瓜 为了 钱 现在 和 父母 很难 见面 为了 钱 我可以 不要 我 的 尊严 为了 钱 我 不再 拥有 私人 时间 为了 钱 我 曾经 累到 住 进 医院 因为 我 需要 钱 解决 我 的 温饱 因为 我 需要 钱 消除 我 的 烦恼 因为 我 需要 钱 撑起 我 的 骄傲 因为 我 需要 钱 开支 未来 的 发票 是 钱 是 万恶之源 我 的 灵魂 正在 走向 堕落 的 深渊 我 曾 感到痛苦 我 曾 茫然 无助 但 我 清楚 的 知道 我 离不开 钱 是 钱 是 万恶之源 但 我 需要 用 它 抹 平梦里 的 画面 多少 人 因为 钱心生 恶念 希望 我 没有 挺而走险 的 那天 我 这个 危险
295629259680,这是 一个 up 剪 的 鬼畜 我 就是 那个 视频 过来 的
295504723264,弹幕 到底 是 哪 年 的 怎么 还有 人去 引用 古话 来 论证 人 的 善恶 的 一群 不 懂 科学 不 知晓 远古 史 的 人 凭 感性 得到 的 片面 总结 怎么 能 直接 拿来 论证 呢
295503197200,造钱 的 是 人人 也造 了 其他 东西 但 钱 被 作为 交易 根据 去 使用 创造 它 的 是 人 赋予 价值 的 也 是 人 不是 人类 社会 的 发展 不是 人类 出于 贸易 的 需要 早期 部落 时代 物品 的 交换 钱 哪来 的 本领 和 资格 去 奴役 人 呢 是 人 选择 了 它 赋予 了 它 造就 了 它 臣服 了 它 让 钱 蛊惑人心 的 是 人 自己 怎么 能 说 钱 就是 万恶之源 呢 如果 早期 人类 以 心脏 作为 货币 那么 发展 到 现在 就是 一群 人 为了 心脏 去 发疯 去 卷 去 残杀 那 这个 时候 你 又 去 说 心脏 是 万恶之源 你 看 同样 的 价值 和 作用 和 意义 只不过 换 了 个 载体 心脏 由于 是 重要 器官 在 我们 现在 的 真实世界 里 十分 重要 加上 现有 的 道德 我们 会 认为 另 一个 世界 的 人用 心脏 当 货币 那 是 无法 接受 的 可见 万恶之源 压根 不是 钱 也 从来不 是 什么 物 一直 都 是 人 啊 如果 人 不 把 钱 当回事 不 赋予 它 的 交易 功能 钱 怎么 会 让 人 如此 着迷 呢
295500129664,弹幕 上 那个 说 俗话 是 闷声 发大财 的 是 哪个 神人 90 后 吗 哈哈哈哈 哈哈哈 没想到 还 能 见到 这个
