评论ID,分词结果
295836605552,晚 了 玩 了 十年 了
295878048512,在 空间 看到 的 她 最终 还是 选择 和 我 分手 了 可 我 还是 不能 忘记 她 第一天 想 她 第二天 想 她 第三天 好 想 她 第四天 Apex 真好玩
291248260209,孩子 们 我 回来 了
293279416448,R . I . P
293040418368,R . I . P
289286470257,孩子 们 我 回来 了
289663584800,10 年 了 啊
287415197953,玩 了 五年 了 我 没救 了
289551960592,我 玩 了 十年 了 差不多 我 更 没救 了
288648274177,真的
286891233457,2026.1 . 19
286889882033,考古
283116802305,这 屁股 有毒
280049272128,考古
279662819200,守望 还 真是 唯一 一个 让 我 玩 了 五年 还 能 从 上午 十点 玩 到 下午 六点 的 一个 游戏
277775498256,2025 年 还有 人 在 看 吗 如果 有人 看到 这句 话 的话 麻烦 留个 回复 收到 消息 我 就 会 进来 看一遍 算是 我 自己 给 自己 的 一个 惊喜 吧
276326507153,有 的 现在 翻 以前 的 鬼畜 看 怀念
276611039697,有点 兄弟 有 的
276959275073,没事 就 翻 鬼畜 看
279333763504,包有 的
280049457968,2025.10 . 22.10 . 16 回应 召唤
278900644881,有 的 兄弟 有 的
280583122960,包 的
280054468657,有 的 兄弟 有 的
281262324577,有 的 兄弟 有 的
281767963153,t1 三连
283671281328,看看 你 后面 呢
289912910865,看看 你 后面 呢
276140620161,快 十年 了
274962521057,这么久 了
274890258369,考古
274491057073,我 擦 感觉 好像 用 b 站 着 多年 第一次 见 振动 视频 还 以为 刚出 的 再 一 看 都 快 十年 前 了 刚好 还是 玩 了 快 十年 的 ow 咋 才 刷 到 这 振动 视频 是 个 啥
274197372497,我 的 6 年级 被 这 首歌 填充
275580525008,这 尼玛 视频 还 带 震动 的
273246743681,要开 声音 哦
272543863760,这是 真的 毒 因为 我 总是 能 在 网吧 一 蹲 67 个 小时 OW 你 给 我 下 了 什么 毒
269683588049,steam 版 搞 了 两个 小时 进不去 登陆 完 根本 没 进入 的 地方
270310840065,别 自己 搞 买 一个 带 守望 现成 的 号 还要 开 加速器 才行
271986916657,战网 注册 完 直接 下 直接 玩
277108970321,steam 是 外服 要开 加速器 直接 上 浏览器 搜 战网
269053651073,2025 国服 回归 我 还是 会 喜欢 他
269765306928,考古
266815008705,前来 考古
266805451793,看到 六年 前 QQ 发给 我 的 回忆 记录 发现 六年 前 在 空间 转 了 这个 视频 来 考古 力
267436377696,19 年 跟 风传 了 几个 自己 打 的 最佳 后面 也 没 在 玩 了
267436368784,第一次 预购 我 初中 现在 都 大学毕业 了 哈哈哈
266220715185,这 视频 真是 常看 常新
267172589360,那年 玩 的 很 开心 回不去 的 美好时光
265234383969,考古 + 1
264957368273,那 时候 绝对 的 全民性 游戏
264957137153,九 周年 了
264957123537,九 周年 刷 到 了
265985318704,考古
264774638097,那年 游戏 很 好玩 我 很 开心
266002295072,怀念 2016
264400750560,考古
264472442528,rip
264309449744,rip
262756099441,第一次 看到 这个 视频 的 时候 才 小学 五年级 我哥 刚 给 预购 的 ow 现在 大二 了 还 在 玩 ow 感慨 啊
262865843825,感慨万千
265058131504,天 我 在 b 站 都 算 老人 了
270881372033,我 16 年 左右 玩 的 ow 大概 才刚 1 年级 4 年 后 有 的 自己 号 虽然 1000 游戏 小时 600 自定义 吧
263505168480,R . I . P
263339703840,R . I . P
263253847024,r i p
262098115281,巴蒂斯特
263002165920,十年 过去 了 时间 过得 好 快 啊 评论 区 还 能 零散 的 刷 出 几条 近期 的 留言
262005993873,重温 了 一遍 可是 主人公 却 离开 这个 世界 了
