评论ID,分词结果
291091597169,讲 的 好
291425029696,罗 老师 好
290985273952,加油
284568727361,罗 老师
283997923857,罗 老师 ?
285896380016,罗 老师
283372078577,谢谢 你 罗 老师
285303100592,罗 老师
283318323377,罗 老师
285213606864,罗 老师
284820385616,罗 老师
284593952496,罗 老师
282646983633,罗 老师
284575809312,罗 老师
282550255233,罗 老师
284367619104,加油
281264193665,加油
281984041696,加油
279528625153,加油
280722620592,加油
280581136272,加油
280482499968,加油
280457778064,加油
278767452513,加油
278604431217,加油
280039930624,加油
278955725360,加油
275705988880,加油
274286405009,老师 教师节 快乐
274119045441,加油
275288250864,加油
275279773632,加油
273555306721,加油
273498984865,加油
274621569408,加油
272796761153,加油
272448429697,加油
272382424225,谢谢 罗 老师
272241058609,加油
271803293089,加油
271542036881,加油
271286306385,加油
271275721361,加油
272514766096,加油
270562016257,加油
271081203680,加油
269723182017,加油
270554003568,加油
269046571601,加油
269045121377,加油
268599345345,加油
268375232657,加油
269186251424,加油
267998142273,加油
268534233328,加油
268446375520,加油
265306344113,加油
265252326689,加油
264298468961,加油
263736910961,加油
263090532944,加油
261789503105,大概 是 你们 想 知道 为什么 会 有 这样 的 安排 那 我 就 说 几句 今付 无法 时法法 何曾 法 天命 已尽 自然 无寿 然而 天天 想着 江山 永固 万岁 万万岁 的 人 怎么 会 甘心 赴死 当然 要 有人 帮 一把 而且 是 打扫 最 干净 的 一种 方式 经过 数千年 的 融合 天子 的 臣民 和 人 皇 的 臣民 已经 融为一体 难以 区分 这 不 就 区分 出来 了 带 着 你 的 臣民 回 黑暗 去 吧 新 时代 一个 不 收
262544411536,加油
260373056897,加油
259238469057,加油 加油
259747043232,黑暗 森林 法则 怎么 就 想不到 兵仙 韩信 羽蛇神 信徒
259735464256,加油
259630220272,加油
258068963361,加油
257949871409,加油
257474462385,加油
257226374865,加油
257185295217,加油
257131641169,加油
256728170049,加油
256515863441,加油
256202695281,加油
255974486401,加油
255892987345,加油
255849754209,加油
255836167089,加油
255945339616,加油
255227340352,加油
254988666880,加油
254679790416,加油
253974142497,加油
253850400801,加油
254384772208,加油
254313717936,加油
254219176848,加油
252426824001,加油
249257038512,加油
249103466384,加油 加油 加油 加油
246158659696,罗 老师 好
243428771009,为 中国崛起 而 读书
243573428704,老师 我太想 努力 了
243413571681,是 这个 版本 的 吗
243525950656,一张 图 让 你 看 懂 罗 老师 新 视频
243298298145,改变命运 走 出去 别困 在 这儿
243349714928,生活 的 自由 / 精神 的 自由
